init_checkpoint=/root/incumbent/auxhead-lite/seed17/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=17
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
latest_curve_csv=/root/outputs/auxhead-lite/seed17/target-140000/curves/latest-curve-tom-seed17.csv
episode=14850 loss=0.2946 policy_loss=-0.1469 reward_sum=0.386
episode=14900 loss=0.6315 policy_loss=0.1053 reward_sum=-0.140
episode=14950 loss=0.1974 policy_loss=-0.2415 reward_sum=0.544
episode=15000 loss=0.5056 policy_loss=-0.0367 reward_sum=-0.188
episode=15050 loss=0.6649 policy_loss=0.2448 reward_sum=-0.692
episode=15100 loss=0.7019 policy_loss=0.1131 reward_sum=-0.176
episode=15150 loss=0.3045 policy_loss=-0.1139 reward_sum=0.357
episode=15200 loss=0.5675 policy_loss=0.0457 reward_sum=-0.176
episode=15250 loss=0.1599 policy_loss=-0.3013 reward_sum=-0.686
episode=15300 loss=0.5737 policy_loss=0.0932 reward_sum=-0.104
episode=15350 loss=0.3211 policy_loss=-0.1236 reward_sum=0.457
episode=15400 loss=0.3652 policy_loss=-0.1339 reward_sum=-0.188
episode=15450 loss=0.1807 policy_loss=-0.3066 reward_sum=0.517
episode=15500 loss=0.5281 policy_loss=0.0345 reward_sum=-0.128
episode=15550 loss=0.2120 policy_loss=-0.2156 reward_sum=0.328
episode=15600 loss=0.6638 policy_loss=0.1664 reward_sum=-0.164
episode=15650 loss=0.1242 policy_loss=-0.2790 reward_sum=-0.704
episode=15700 loss=0.5249 policy_loss=0.0174 reward_sum=-0.191
episode=15750 loss=0.5324 policy_loss=0.0704 reward_sum=0.501
episode=15800 loss=0.6320 policy_loss=0.1005 reward_sum=-0.164
episode=15850 loss=0.2703 policy_loss=-0.1774 reward_sum=0.328
episode=15900 loss=0.5729 policy_loss=0.0532 reward_sum=-0.176
episode=15950 loss=0.2310 policy_loss=-0.2030 reward_sum=0.371
