init_checkpoint=/root/incumbent/v6-omx-full2-promo-candidate/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=13150 loss=0.1988 policy_loss=-0.1865 reward_sum=-0.680
episode=13200 loss=0.8470 policy_loss=0.3947 reward_sum=-0.152
episode=13250 loss=0.2235 policy_loss=-0.1787 reward_sum=0.339
episode=13300 loss=1.0713 policy_loss=0.5959 reward_sum=-0.200
episode=13350 loss=0.1021 policy_loss=-0.3029 reward_sum=-0.692
episode=13400 loss=0.9140 policy_loss=0.3901 reward_sum=-0.200
episode=13450 loss=0.4775 policy_loss=0.0502 reward_sum=0.568
episode=13500 loss=0.5924 policy_loss=0.0502 reward_sum=-0.104
episode=13550 loss=0.5406 policy_loss=0.1053 reward_sum=0.371
episode=13600 loss=0.6007 policy_loss=0.0776 reward_sum=-0.152
episode=13650 loss=0.3169 policy_loss=-0.1179 reward_sum=0.347
episode=13700 loss=0.5222 policy_loss=0.0042 reward_sum=-0.176
episode=13750 loss=0.2929 policy_loss=-0.1360 reward_sum=0.379
episode=13800 loss=0.5073 policy_loss=0.0368 reward_sum=-0.188
episode=13850 loss=0.2178 policy_loss=-0.2076 reward_sum=0.386
episode=13900 loss=0.6478 policy_loss=0.1222 reward_sum=-0.128
episode=13950 loss=0.2127 policy_loss=-0.1648 reward_sum=0.320
episode=14000 loss=0.6055 policy_loss=0.1242 reward_sum=-0.104
episode=14050 loss=0.2337 policy_loss=-0.1915 reward_sum=0.386
episode=14100 loss=0.4588 policy_loss=0.0164 reward_sum=-0.128
episode=14150 loss=0.3111 policy_loss=-0.0958 reward_sum=0.359
episode=14200 loss=0.5917 policy_loss=0.1186 reward_sum=-0.164
episode=14250 loss=0.2245 policy_loss=-0.1650 reward_sum=0.328
episode=14300 loss=0.5526 policy_loss=0.0657 reward_sum=-0.140
episode=14350 loss=0.2354 policy_loss=-0.1859 reward_sum=0.308
episode=14400 loss=0.6016 policy_loss=0.0915 reward_sum=-0.176
episode=14450 loss=-0.0018 policy_loss=-0.8053 reward_sum=-1.289
episode=14500 loss=0.6272 policy_loss=0.0754 reward_sum=-0.176
episode=14550 loss=0.1874 policy_loss=-0.2095 reward_sum=-0.704
episode=14600 loss=0.4685 policy_loss=-0.0646 reward_sum=-0.152
episode=14650 loss=-0.1394 policy_loss=-0.7515 reward_sum=-1.285
episode=14700 loss=0.5590 policy_loss=0.0409 reward_sum=-0.188
episode=14750 loss=0.3018 policy_loss=-0.1325 reward_sum=0.488
episode=14800 loss=0.5985 policy_loss=0.0802 reward_sum=-0.200
latest_checkpoint=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=14850 loss=0.1051 policy_loss=-0.3154 reward_sum=-0.678
episode=14900 loss=0.6437 policy_loss=0.1213 reward_sum=-0.164
episode=14950 loss=0.1792 policy_loss=-0.2253 reward_sum=0.328
episode=15000 loss=0.6287 policy_loss=0.1076 reward_sum=-0.164
episode=15050 loss=0.1582 policy_loss=-0.2983 reward_sum=0.544
episode=15100 loss=0.1138 policy_loss=-0.4038 reward_sum=-0.734
episode=15150 loss=0.1407 policy_loss=-0.2515 reward_sum=-0.692
episode=15200 loss=0.6076 policy_loss=0.0735 reward_sum=-0.152
episode=15250 loss=0.0858 policy_loss=-0.2923 reward_sum=-0.692
episode=15300 loss=0.6494 policy_loss=0.1264 reward_sum=-0.164
episode=15350 loss=0.2131 policy_loss=-0.1888 reward_sum=0.288
episode=15400 loss=0.6017 policy_loss=0.0665 reward_sum=-0.740
episode=15450 loss=0.2518 policy_loss=-0.1621 reward_sum=0.320
episode=15500 loss=0.7574 policy_loss=0.1762 reward_sum=-0.200
episode=15550 loss=0.0679 policy_loss=-0.3278 reward_sum=-0.712
episode=15600 loss=0.6822 policy_loss=0.1532 reward_sum=-0.200
episode=15650 loss=0.0711 policy_loss=-0.3373 reward_sum=0.490
episode=15700 loss=0.5610 policy_loss=-0.0017 reward_sum=-0.176
episode=15750 loss=0.2010 policy_loss=-0.2156 reward_sum=0.469
