init_checkpoint=/root/incumbent/auxhead-lite-v2-local800/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=15950 loss=0.3388 policy_loss=-0.1354 reward_sum=0.457
episode=16000 loss=0.6205 policy_loss=0.0971 reward_sum=-0.200
episode=16050 loss=0.2917 policy_loss=-0.1322 reward_sum=0.347
episode=16100 loss=0.6132 policy_loss=0.0194 reward_sum=-0.152
episode=16150 loss=0.2940 policy_loss=-0.1617 reward_sum=0.367
episode=16200 loss=0.6402 policy_loss=0.0978 reward_sum=-0.164
episode=16250 loss=0.5491 policy_loss=-0.3796 reward_sum=-1.298
episode=16300 loss=0.6275 policy_loss=0.0909 reward_sum=-0.188
episode=16350 loss=0.3154 policy_loss=-0.1167 reward_sum=0.347
episode=16400 loss=0.8677 policy_loss=0.3063 reward_sum=-0.128
episode=16450 loss=0.4326 policy_loss=0.0104 reward_sum=-0.668
episode=16500 loss=0.4325 policy_loss=-0.1337 reward_sum=-0.740
episode=16550 loss=0.8989 policy_loss=0.0881 reward_sum=-1.287
episode=16600 loss=0.6196 policy_loss=0.0889 reward_sum=-0.140
episode=16650 loss=0.2638 policy_loss=-0.2390 reward_sum=0.437
episode=16700 loss=0.5533 policy_loss=0.0201 reward_sum=-0.152
episode=16750 loss=0.2084 policy_loss=-0.2370 reward_sum=0.449
episode=16800 loss=0.6695 policy_loss=0.1739 reward_sum=-0.176
latest_checkpoint=/root/outputs/auxhead-lite/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=16850 loss=0.1954 policy_loss=-0.2234 reward_sum=0.391
episode=16900 loss=0.4848 policy_loss=-0.0314 reward_sum=-0.200
episode=16950 loss=0.2485 policy_loss=-0.1884 reward_sum=0.308
episode=17000 loss=0.5324 policy_loss=0.0096 reward_sum=-0.152
episode=17050 loss=0.1715 policy_loss=-0.2478 reward_sum=0.406
episode=17100 loss=0.5520 policy_loss=0.0760 reward_sum=-0.176
episode=17150 loss=0.2021 policy_loss=-0.1842 reward_sum=0.359
episode=17200 loss=0.4789 policy_loss=-0.0186 reward_sum=-0.140
episode=17250 loss=0.1704 policy_loss=-0.2211 reward_sum=0.318
episode=17300 loss=0.6769 policy_loss=0.1487 reward_sum=-0.188
episode=17350 loss=0.3354 policy_loss=-0.1011 reward_sum=0.359
episode=17400 loss=0.6647 policy_loss=0.1297 reward_sum=-0.200
episode=17450 loss=0.1746 policy_loss=-0.2311 reward_sum=0.379
episode=17500 loss=0.4281 policy_loss=-0.1376 reward_sum=-0.790
episode=17550 loss=0.1133 policy_loss=-0.2964 reward_sum=0.454
episode=17600 loss=0.6878 policy_loss=0.1306 reward_sum=-0.152
episode=17650 loss=0.6767 policy_loss=0.2544 reward_sum=-0.712
episode=17700 loss=0.2471 policy_loss=-0.3078 reward_sum=-0.750
